result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
13.52,+2.0,PNG,Norwalk CA,USA,2015-04-18,Sharon Kwarula,1987,Female,100H,NR
12.36,+1.9,POL,Warszawa,POL,1980-06-13,Grazyna Rabsztyn,1952,Female,100H,NR
13.14,+2.0,POR,Coimbra,POR,2000-08-13,Isabel Abrantes,1973,Female,100H,NR
13.92,,PRK,Pyongyang,PRK,2001-10-04,Kim Myong Ok,,Female,100H,NR
12.26,-0.2,PUR,Tokyo,JPN,2021-08-01,Jasmine Camacho-Quinn,1996,Female,100H,NR
15.48,,QAT,Sharjah,UAE,2014-02-04,Badia Kamara,,Female,100H,NR
12.62,+1.2,ROU,Villeneuve d'Ascq,FRA,1990-06-29,Mihaela Pogacian,1958,Female,100H,NR
12.55,+1.0,RSA,La Chaux-de-Fonds,SUI,2023-07-02,Marione Fourie,2002,Female,100H,NR
12.26,+1.7,RUS,Sevilla,ESP,1992-06-06,Ludmila Engquist,1964,Female,100H,NR
18.60,+1.1,RWA,Blois,FRA,2002-06-29,Dativa Mukandinda,,Female,100H,NR
14.75,,SAM,Auckland,NZL,1989-11-03,Kim Peterson,1967,Female,100H,NR
12.94,-1.4,SEN,Dakar,SEN,2000-05-06,Tacko Diouf,1976,Female,100H,NR
13.70,+1.3,SEY,Niort,FRA,2004-07-24,Céline Laporte,1984,Female,100H,NR
13.87,0.0,SGP,Hanoi,VIE,2022-05-16,Nur Izlyn Zaini,1998,Female,100H,NR
13.48,+1.1,SKN,Fayetteville AR,USA,2019-05-09,Kieshonna Brooks,1998,Female,100H,NR
13.38,,SLE,Talence,FRA,1996-09-14,Eunice Barber,1974,Female,100H,NR
12.59,+0.2,SLO,Atlanta GA,USA,1996-07-31,Brigita Bukovec,1970,Female,100H,NR
14.77,-0.9,SMR,Nicosia,CYP,2009-06-06,Barbara Rustignoli,1984,Female,100H,NR
12.99,+1.8,SRB,Kraljevo,SRB,2023-07-29,Milica Emini,1999,Female,100H,NR
12.91,+1.2,SRI,Atlanta GA,USA,1996-07-29,Sriyani Kulawansa-Fonseka,1970,Female,100H,NR
13.97,0.0,STP,Braga,POR,2014-07-13,Olimpia Barbosa,1995,Female,100H,NR
14.31,+0.8,SUD,Namboole,UGA,2007-05-31,Mona Jabir Ahmed,1987,Female,100H,NR
12.47,0.0,SUI,Bern,SUI,2023-08-04,Ditaji Kambundji,2002,Female,100H,NR
15.48,,SUR,Alphen aan den Rijn,NED,1992-05-24,Yvette Bonapart,1965,Female,100H,NR
12.72,+1.0,SVK,Chengdu,CHN,2023-08-04,Viktória Forster,2002,Female,100H,NR
12.47,+1.4,SWE,Atlanta GA,USA,1996-07-29,Ludmila Engquist,1964,Female,100H,NR
