result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:19:32,CPV,Riva del Garda,ITA,2005-11-13,Sonia Lopes,1975.0,Female,HM,NR,Outdoor
1:13:08,CRC,Las Vegas,USA,2023-03-02,Diana Bogantes,1988.0,Female,HM,NR,Outdoor
1:09:16,CRO,Zagreb,CRO,2014-11-16,Lisa Nemec,1984.0,Female,HM,NR,Outdoor
1:09:59,CUB,Azpeitia,ESP,2003-03-29,Yesenia Centeno,1971.0,Female,HM,NR,Outdoor
1:14:40,CYP,Gdynia,POL,2020-10-17,Thalia Charalambous Slatem,1989.0,Female,HM,NR,Outdoor
1:10:14,CZE,Istanbul,TUR,2022-03-27,Moira Stewartová,1995.0,Female,HM,NR,Outdoor
1:10:50,DEN,Remich-Grevenmacher,LUX,1996-09-29,Gitte Karlshøj,1959.0,Female,HM,NR,Outdoor
1:18:50,DJI,Marrakech,MAR,2023-06-24,Ahmed Djama Habone,2001.0,Female,HM,NR,Outdoor
2:09:47,DMA,New York,USA,2014-11-02,Waverley Richards,,Female,HM,NR,Outdoor
1:15:47,DOM,Luzern,SUI,2023-10-29,Soranyi Rodriguez,1992.0,Female,HM,NR,Outdoor
1:11:23,ECU,Buenos Aires,ARG,2022-08-21,Rosalba Chacha,1982.0,Female,HM,NR,Outdoor
1:26:52,EGY,Valencia,ESP,2018-03-24,Nesma Ammar Saad Mohamed Abdelghany,1993.0,Female,HM,NR,Outdoor
1:08:53,ERI,Valencia,ESP,2022-12-04,Dolshi Tesfu,1999.0,Female,HM,NR,Outdoor
1:17:48,ESA,Long Beach,USA,2003-10-12,Elizabeth Zaragoza,1968.0,Female,HM,NR,Outdoor
1:09:41,ESP,Valencia,ESP,2023-10-22,Laura Luengo,1997.0,Female,HM,NR,Outdoor
1:10:10,EST,Den Haag,NED,1994-03-27,Jane Salumäe,1968.0,Female,HM,NR,Outdoor
1:02:52,ETH,Valencia,ESP,2021-10-24,Letesenbet Gidey,1998.0,Female,HM,NR,Outdoor
1:25:00,FIJ,Nouméa,FRA,1996-06-23,Salome Tabuatalei,,Female,HM,NR,Outdoor
1:09:55,FIN,Barcelona,ESP,2024-02-11,Camilla Richardsson,1993.0,Female,HM,NR,Outdoor
1:08:27,FRA,Málaga,ESP,2022-12-11,Mekdes Woldu,1992.0,Female,HM,NR,Outdoor
1:34:48,FSM,Pohnpei,FSM,2014-07-24,Reloliza Saimon,1994.0,Female,HM,NR,Outdoor
1:16:24,GAB,Montréal,CAN,2009-04-19,Josiane Aboungono,1978.0,Female,HM,NR,Outdoor
1:19:39,GAM,Brufut,GAM,2014-01-18,Mariama Jallow,1994.0,Female,HM,NR,Outdoor
1:05:43,GBR,Berlin,GER,2023-04-02,Eilish McColgan,1990.0,Female,HM,NR,Outdoor
1:23:40,GBS,Léon,MEX,2010-03-21,Aparecida Augusto Mendes,,Female,HM,NR,Outdoor
1:14:14,GEO,Kraków,POL,2019-10-13,Valeriya Zhandarova,1994.0,Female,HM,NR,Outdoor
1:33:59,GEQ,Uster,SUI,1998-09-27,Esperanza Obono Ela,,Female,HM,NR,Outdoor
1:05:18,GER,Gdynia,POL,2020-10-17,Melat Kejeta,1992.0,Female,HM,NR,Outdoor
1:16:30,GHA,Lagos,NGR,2005-11-19,Millicent Boadi,1982.0,Female,HM,NR,Outdoor
1:20:13,GIB,Sevilla,ESP,2024-01-28,Kim Baglietto,1992.0,Female,HM,NR,Outdoor
1:11:52,GRE,Amsterdam,NED,2016-07-10,Ouranía Reboúli,1989.0,Female,HM,NR,Outdoor
1:39:23,GRN,Portsmouth,GBR,2006-11-26,Kenisha Pascal,1987.0,Female,HM,NR,Outdoor
1:27:43,GUA,Ciudad de Guatemala,GUA,2005-09-24,Elsa Monterroso,1971.0,Female,HM,NR,Outdoor
1:23:27,GUM,Yigo-Ypao,GUM,1998-02-28,Rhonda Davidson-Alley,1961.0,Female,HM,NR,Outdoor
1:26:16,GUY,Overland Park,USA,2001-05-19,Abidemi Charles,1980.0,Female,HM,NR,Outdoor
1:28:44,HAI,Orlando,USA,2008-12-06,Bertine Laine,,Female,HM,NR,Outdoor
1:12:10,HKG,Gdynia,POL,2020-10-17,Christy Yiu Kit Ching,1988.0,Female,HM,NR,Outdoor
1:22:50,HON,Tegucigalpa,HON,2018-08-26,Aldy Jimena Gonzalez-Zuniga,,Female,HM,NR,Outdoor
1:08:58,HUN,Milano,ITA,2007-04-01,Anikó Kálovics,1977.0,Female,HM,NR,Outdoor
1:13:01,INA,Guangzhou,CHN,2010-11-27,Triyaningsih,1987.0,Female,HM,NR,Outdoor
1:10:52,IND,New Delhi,IND,2015-11-29,Lalita Babar,1989.0,Female,HM,NR,Outdoor
1:16:55,IRI,Berlin,GER,2022-04-03,Mandana Nouri,1983.0,Female,HM,NR,Outdoor
1:07:19,IRL,Newcastle-South Shields,GBR,2002-10-06,Sonia O'Sullivan,1969.0,Female,HM,NR,Outdoor
1:35:59,IRQ,Abu Dhabi,UAE,2015-11-20,Yasmin Wadhai,1988.0,Female,HM,NR,Outdoor
1:11:40,ISL,Reykjavik,ISL,1996-08-18,Martha Ernstsdóttir,1964.0,Female,HM,NR,Outdoor
