result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
13.90,0.7,STP,Braga,POR,2023-07-30,Agate De Sousa,2000,Female,TJ,NR,Outdoor
15.28,0.3,SUD,Linz,AUT,2004-08-02,Yamilé Aldama,1972,Female,TJ,NR,Outdoor
13.49,-0.5,SUI,La Chaux-de-Fonds,SUI,2018-07-01,Fatim Affessi,1993,Female,TJ,NR,Outdoor
12.54,1.6,SUR,Kourou,FRA,2019-03-30,Deborah Galong,1996,Female,TJ,NR,Outdoor
14.51,1.3,SVK,Pavia,ITA,2008-05-11,Dana Velďáková,1981,Female,TJ,NR,Outdoor
14.29,0.7,SWE,Växjö,SWE,2008-06-08,Carolina Klüft,1983,Female,TJ,NR,Outdoor
10.60,,SWZ,Mbabane,SWZ,2002-01-01,Gcebile Gumedze,,Female,TJ,NR,Outdoor
13.01,,SYR,Radès,TUN,2009-06-21,Fadwa Al-Boza,1990,Female,TJ,NR,Outdoor
10.80,,TAN,Dar-es-Salaam,TAN,2016-06-12,Rose Seif,,Female,TJ,NR,Outdoor
12.57,,TGA,Coffeyville,USA,2007-05-19,Melesia Mafile'o,1984,Female,TJ,NR,Outdoor
14.17,1.0,THA,Taipei,TPE,2018-05-25,Parinya Chuaimaroeng,1997,Female,TJ,NR,Outdoor
12.58,0.6,TJK,Alma-Ata,URS,1991-05-12,Marina Rudneva,,Female,TJ,NR,Outdoor
13.97,0.9,TKM,Singapore,SGP,1999-10-01,Viktoriya Brigadnaya,1980,Female,TJ,NR,Outdoor
10.34,1.6,TKS,Vieux-Fort,LCA,2009-04-12,Shamara Rigby,,Female,TJ,NR,Outdoor
10.33,,TLS,Vagos,POR,2021-07-31,Ofélia Faria,,Female,TJ,NR,Outdoor
13.23,0.8,TOG,Accra,GHA,2024-03-19,Fayza Issaka Abdou Kerim,1996,Female,TJ,NR,Outdoor
13.63,,TPE,Taoyuan,TPE,1999-12-26,Wang Kuo-Huei,1978,Female,TJ,NR,Outdoor
14.40,0.0,TTO,Alexandria,USA,2014-08-31,Ayanna Alexander,1982,Female,TJ,NR,Outdoor
13.08,,TUN,Dakar,SEN,2000-05-06,Monya Jelassi,1979,Female,TJ,NR,Outdoor
14.16,-0.2,TUR,Chorzów,POL,2023-06-24,Tuğba Danişmaz,1999,Female,TJ,NR,Outdoor
10.29,1.0,TUV,Nikao,COK,2009-09-25,Asenate Manoa,1992,Female,TJ,NR,Outdoor
11.30,,UAE,Al-Kuwait,KUW,2022-05-17,Latifa Al-Kaabi,,Female,TJ,NR,Outdoor
14.06,0.0,UGA,Nashville,USA,2011-04-09,Sarah Nambawa,1985,Female,TJ,NR,Outdoor
15.50,0.9,UKR,Göteborg,SWE,1995-08-10,Inessa Kravets,1966,Female,TJ,NR,Outdoor
13.59,-0.2,URU,Montevideo,URU,1999-05-08,Mónica Falcioni,1968,Female,TJ,NR,Outdoor
