Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
AL;6;HAM;WJU20;56.77;;Douglas Track & Field;NZL;Outdoor;2026-03-05;Arielle;Cannell;AUS;2008;Female;14960556
AL;6;1K5;WJU20;4:12.81;;SA Athletic Stadium;AUS;Outdoor;2026-03-14;Milla;Roberts;AUS;2007;Female;14952789
AL;6;1K5;MJU20;3:33.25;;Boston Univ. Track & Tennis Center;USA;Indoor;2026-01-31;Sam;Ruthe;NZL;2009;Male;15131581
AL;6;HOC;MJU20;2.08;;QSAC State Athletics Facility;AUS;Outdoor;2026-03-15;Alikana;Malish;AUS;2011;Male;15184385
AL;6;4×1;MJU20;39.47;;QSAC State Athletics Facility;AUS;Outdoor;2026-01-10;Australia;B;AUS;;Male;
AL;6;5G;MJU20;19:42.80;;SOPAC;AUS;Outdoor;2026-03-12;Isaac;Beacroft;AUS;2007;Male;14963962
AL;6;SPE;WJU20;46.88;;Douglas Track & Field;NZL;Outdoor;2026-03-08;Rebecca;Bailey;NZL;2007;Female;15185830
AL;6;800;WJU20;2:01.60;;Ashenfelter Indoor Track;USA;Indoor;2026-01-30;Boh;Ritchie;NZL;2007;Female;14960191
AL;6;1K0;MJU20;2:28.15;;Domain Athletic Centre;AUS;Outdoor;2026-02-14;Luke;Palmer;AUS;2007;Male;15012980
AL;6;3G;WJU20;13:39.98;;SOPAC Warm Up Arena;AUS;Outdoor;2026-02-14;Avia;Luketic;AUS;;Female;15185820
AL;6;600;WJU20;1:28.21;;Ashenfelter Indoor Track;USA;Indoor;2026-01-17;Boh;Ritchie;NZL;2007;Female;14960191
AL;1;10G;MJU20;42:31.4;;Slava Metreveli Stadium;RUS;Outdoor;2026-02-17;Konstantin;Pozdnyakov;RUS;2010;Male;15177100
AL;1;WEI;WJU20;6.45;;Olympic Sports Complex of Paiania;GRE;Indoor;2026-03-01;Evelyn;Mitropoulou;GRE;2008;Female;15109329
AL;1;WEI;WJU20;6.45;;Olympic Sports Complex of Paiania;GRE;Indoor;2026-03-01;Evelyn;Mitropoulou;GRE;2008;Female;15109329
AL;1;3K0;MJU20;7:52.67;;Eva Lisa Holtz Arena;SWE;Indoor;2026-02-01;Magnus;Øyen;NOR;2007;Male;15044764
AL;1;100;MJU20;10.71;;Lee Valley Athletics Centre;GBR;Indoor;2026-03-08;Efosa;Imatitikua-Davidson;GBR;2007;Male;15030567
AL;1;50M;MJU20;5.94;;Atletická hala;CZE;Indoor;2026-02-03;Vojtěch;Vocílka;CZE;;Male;15121702
AL;1;KUG;WJU20;16.59;;Olympic Sports Complex of Paiania;GRE;Indoor;2026-03-01;Maria;Rafailidou;GRE;2007;Female;14978785
AL;1;KUG;WJU20;16.59;;Olympic Sports Complex of Paiania;GRE;Indoor;2026-03-01;Maria;Rafailidou;GRE;2007;Female;14978785
AL;1;4×4;MJU20;3:10.96;;Sala de Atletism Ioan Soter;ROU;Indoor;2026-03-08;CS;Orasenesc Voluntari;ROU;;Male;
