code,type,discipline,result,wind,venue,venueCountry,venueCity,environment,date,name,firstname,lastname,nation,yearOfBirth,sex
AL,4,4×1,39.21,,McArthur Stadium,RSA,Potchefstroom,Outdoor,2024-03-14,,,,RSA,,Male
AL,4,4×4,3:04.99,,Ulinzi Sports Complex,KEN,"Langata, Nairobi",Outdoor,2024-01-06,,,,KEN,,Male
AL,4,2K0,4:51.23,,Arena Stade Couvert,FRA,Liévin,Indoor,2024-02-10,,Lamecha,Girma,ETH,2000,Male
AL,4,DRE,17.53,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-02,,Hugues,Fabrice Zango,BUR,1993.0,Male
AL,4,5K0,12:56.76,,Boston Univ. Track & Tennis Center,USA,"Boston, MA",Indoor,2024-01-26,,Adriaan,Wildschutt,RSA,1998.0,Male
AL,4,50M,6.73,,Salle du Centre Mondial du Cyclisme,SUI,Aigle,Indoor,2024-01-20,,Anastasie,Tsogo,CMR,2003,Female
AL,4,3KH,9:43.05,,Nyayo National Stadium,KEN,Nairobi,Outdoor,2024-03-06,,Caren,Chebet,KEN,2000.0,Female
AL,4,100,10.1,0.9,Navy New Sport Center,NGR,Lagos,Outdoor,2024-01-27,,Emmanuel,Ekanem Consider,NGR,2004.0,Male
AL,4,MEI,4:17.36,,Atletická hala,CZE,Ostrava,Indoor,2024-01-30,,Freweyni,Hailu,ETH,2001.0,Female
AL,4,3KH,8:22.72,,Nyayo National Stadium,KEN,Nairobi,Outdoor,2024-03-06,,Amos,Serem,KEN,2002.0,Male
AL,4,3G,14:57.25,,McArthur Stadium,RSA,Potchefstroom,Outdoor,2024-01-30,,Althea,Taylor,RSA,1996,Female
AL,4,2KH,7:00.15,,Pilditch Stadium,RSA,Pretoria,Outdoor,2024-03-09,,Elizma,Le Roux,RSA,2007.0,Female
AL,4,HAM,67.04,,Miloud HEDEFI Athletics Stadium,ALG,Oran,Outdoor,2024-03-01,,Zahra,Tatar,ALG,1992,Female
AL,4,5G,24:53.44,,McArthur Stadium,RSA,Potchefstroom,Outdoor,2024-02-14,,Marissa,Swanepoel,RSA,2002,Female
AL,4,300,30.69,,Pilditch Stadium,RSA,Pretoria,Outdoor,2024-02-17,,Letsile,Tebogo,BOT,2003.0,Male
AL,4,SPE,79.62,,Athletics Track,RSA,"Parow, Cape Town",Outdoor,2024-02-10,,Rocco,Van Rooyen,RSA,1992.0,Male
AL,4,60M,7.1,,Sports Performance Center,USA,"Lubbock, TX",Indoor,2024-02-09,,Rosemary,Chukwuma,NGR,2001.0,Female
AL,4,300,35.99,,The Track at New Balance,USA,"Boston, MA",Indoor,2024-02-04,,Favour,Ofili,NGR,2002.0,Female
