result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
1:54.01,800m,Africa,,KEN,Zürich,SUI,2008-08-29,Pamela Jelimo,1989,women,Outdoor
1:55.54,800m,Asia,,CHN,Beijing,CHN,1993-09-09,Liu Dong,1973,women,Outdoor
1:53.28,800m,Europe,,CZE,München,FRG,1983-07-26,Jarmila Kratochvílová,1951,women,Outdoor
1:54.44,800m,NACAC,,CUB,Barcelona,ESP,1989-09-09,Ana Fidelia Quirot,1963,women,Outdoor
1:57.78,800m,Oceania,,AUS,London,GBR,2023-07-23,Catriona Bisset,1994,women,Outdoor
1:56.68,800m,South America,,SUR,Göteborg/U,SWE,1995-08-13,Letitia Vriesde,1964,women,Outdoor
64.96,Discus Throw,Africa,,NGR,Ramona OK,USA,2023-04-15,Chioma Onyekwere,1994,women,Outdoor
71.68,Discus Throw,Asia,,CHN,Beijing,CHN,1992-03-14,Xiao Yanling,1968,women,Outdoor
76.80,Discus Throw,Europe,,GER,Neubrandenburg,GER,1988-07-09,Gabriele Reinsch,1963,women,Outdoor
71.46,Discus Throw,NACAC,,USA,La Jolla CA,USA,2022-04-08,Valarie Allman,1995,women,Outdoor
69.64,Discus Throw,Oceania,,AUS,London,GBR,2017-08-13,Dani Stevens,1988,women,Outdoor
65.34,Discus Throw,South America,,BRA,Leiria,POR,2019-06-26,Andressa de Morais,1990,women,Outdoor
1:02:52,Half Marathon,Africa,,ETH,Valencia,ESP,2021-10-24,Letesenbet Gidey,1998,women,Outdoor
1:06:11,Half Marathon,Asia,,BRN,København,DEN,2017-09-17,Eunice Chumba,1993,women,Outdoor
1:05:15,Half Marathon,Europe,,NED,København,DEN,2018-09-16,Sifan Hassan,1993,women,Outdoor
1:06:52,Half Marathon,NACAC,,USA,Houston TX,USA,2023-01-15,Emily Sisson,1991,women,Outdoor
1:06:39,Half Marathon,NACAC,,USA,Gold Coast,AUS,2023-07-01,Keira D'Amato,1984,women,Outdoor
1:06:25,Half Marathon,NACAC,,USA,Houston TX,USA,2024-01-14,Weini Kelati,1996,women,Outdoor
1:07:11,Half Marathon,Oceania,,NZL,Philadelphia PA,USA,2011-09-18,Kim Smith,1981,women,Outdoor
1:09:31,Half Marathon,South America,,ARG,Buenos Aires,ARG,2022-08-21,Florencia Borelli,1992,women,Outdoor
1:09:28,Half Marathon,South America,,ARG,Buenos Aires,ARG,2023-08-27,Florencia Borelli,1992,women,Outdoor
75.49,Hammer Throw,Africa,,NGR,Tucson AZ,USA,2021-05-22,Annette Echikunwoke,1996,women,Outdoor
77.68,Hammer Throw,Asia,,CHN,Chengdu,CHN,2014-03-29,Wang Zheng,1987,women,Outdoor
82.98,Hammer Throw,Europe,,POL,Warszawa,POL,2016-08-28,Anita Włodarczyk,1985,women,Outdoor
80.31,Hammer Throw,NACAC,,USA,Eugene OR,USA,2021-06-26,DeAnna Price,1993,women,Outdoor
74.61,Hammer Throw,Oceania,,NZL,Tucson AZ,USA,2021-05-20,Lauren Bruce,1997,women,Outdoor
73.74,Hammer Throw,South America,,ARG,Buenos Aires,ARG,2010-04-10,Jenny Dahlgren,1984,women,Outdoor
6423,Heptathlon,Africa,,GHA,Götzis,AUT,2005-05-29,Margaret Simpson,1982,women,Outdoor
6942,Heptathlon,Asia,,SYR,Götzis,AUT,1996-05-26,Ghada Shouaa,1972,women,Outdoor
7032,Heptathlon,Europe,,SWE,Osaka,JPN,2007-08-26,Carolina Klüft,1983,women,Outdoor
7291,Heptathlon,NACAC,,USA,Seoul,KOR,1988-09-24,Jackie Joyner-Kersee,1962,women,Outdoor
6695,Heptathlon,Oceania,,AUS,Auckland,NZL,1990-01-28,Jane Flemming,1965,women,Outdoor
6346,Heptathlon,South America,,COL,Ibague,COL,2021-03-14,Evelyn Aguilar,1993,women,Outdoor
2.06,High Jump,Africa,,RSA,Saint-Denis,FRA,2003-08-31,Hestrie Cloete,1978,women,Outdoor
