result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline,type
23.56,,USA,Westwood CA,USA,2023-05-27,Ryan Crouser,1992.0,Male,Outdoor,AR,KUG,2
22.90,,NZL,Doha,QAT,2019-10-05,Tom Walsh,1992.0,Male,Outdoor,AR,KUG,6
22.61,,BRA,Stanford CA,USA,2019-06-30,Darlan Romani,1991.0,Male,Outdoor,AR,KUG,3
17.59,0.0,CHN,Jinan,CHN,2009-10-26,Li Yanxi,1983.0,Male,Outdoor,AR,DRE,5
18.29,1.3,GBR,Göteborg/U,SWE,1995-08-07,Jonathan Edwards,1966.0,Male,Outdoor,AR,DRE,1
18.21,0.2,USA,Beijing,CHN,2015-08-27,Christian Taylor,1990.0,Male,Outdoor,AR,DRE,2
17.46,1.7,AUS,London,GBR,1982-08-07,Ken Lorraway,1956.0,Male,Outdoor,AR,DRE,6
17.90,0.4,BRA,Belém,BRA,2007-05-20,Jadel Gregório,1980.0,Male,Outdoor,AR,DRE,3
2:14.20,,DJI,Stockholm/G,SWE,2016-02-17,Ayanleh Souleiman,1992.0,Male,Indoor,AR,1K0,4
2:14.96,,DEN,Birmingham,GBR,2000-02-20,Wilson Kipketer,1972.0,Male,Indoor,AR,1K0,1
2:14.74,,CAN,Brighton MA,USA,2024-02-04,Marco Arop,1998.0,Male,Indoor,AR,1K0,2
2:16.95,,AUS,Boston MA,USA,2024-02-10,Jack Anstey,1997.0,Male,Indoor,AR,1K0,6
10.42,,BRA,Tampere,FIN,2006-02-04,Vicente de Lima,1977.0,Male,Indoor,AR,100,3
3:31.04,,ETH,Birmingham,GBR,2019-02-16,Samuel Tefera,1999.0,Male,Indoor,AR,1K5,4
3:36.28,,BRN,Stockholm/G,SWE,2007-02-20,Bilal Mansour Ali,1988.0,Male,Indoor,AR,1K5,5
3:30.60,,NOR,Liévin,FRA,2022-02-17,Jakob Ingebrigtsen,2000.0,Male,Indoor,AR,1K5,1
3:32.35,,AUS,Staten Island NY,USA,2021-02-13,Olli Hoare,1997.0,Male,Indoor,AR,1K5,6
3:38.03,,ARG,Sabadell,ESP,2022-02-08,Federico Bruno,1993.0,Male,Indoor,AR,1K5,3
5:09.61,,ARG,Bordeaux,FRA,2013-01-26,Federico Bruno,1993.0,Male,Indoor,AR,2K0,3
19.92,,NAM,Liévin,FRA,1996-02-18,Frank Fredericks,1967.0,Male,Indoor,AR,200,4
20.63,,JPN,Maebashi,JPN,1999-03-05,Koji Ito,1970.0,Male,Indoor,AR,200,5
20.25,,GBR,Liévin,FRA,1995-02-19,Linford Christie,1960.0,Male,Indoor,AR,200,1
20.02,,USA,College Station TX,USA,2018-03-10,Elijah Hall-Thompson,1994.0,Male,Indoor,AR,200,2
20.71,,AUS,Toronto,CAN,1993-03-14,Damien Marsh,1971.0,Male,Indoor,AR,200,6
20.65,,BRA,Sindelfingen,FRG,1989-02-26,Robson Caetano da Silva,1964.0,Male,Indoor,AR,200,3
7:23.81,,ETH,Liévin,FRA,2023-02-15,Lamecha Girma,2000.0,Male,Indoor,AR,3K0,4
7:31.77,,BRN,Liévin,FRA,2022-02-17,Birhanu Balew,1996.0,Male,Indoor,AR,3K0,5
7:24.68,,ESP,Liévin,FRA,2023-02-15,Mohamed Katir,1998.0,Male,Indoor,AR,3K0,1
7:28.23,,USA,Boston MA,USA,2023-01-27,Yared Nuguse,1999.0,Male,Indoor,AR,3K0,2
7:34.50,,AUS,Boston MA,USA,2008-01-26,Craig Mottram,1980.0,Male,Indoor,AR,3K0,6
7:49.46,,COL,Sevilla,ESP,1991-03-10,Jacinto Navarrete,1962.0,Male,Indoor,AR,3K0,3
1:22.11,,GBR,Glasgow,GBR,1991-03-03,Great Britain,,Male,Indoor,AR,4×2,1
1:22.71,,USA,Glasgow,GBR,1991-03-03,United States,,Male,Indoor,AR,4×2,2
3:07.95,,NGR,Sopot,POL,2014-03-08,Nigeria,,Male,Indoor,AR,4×4,4
3:05.90,,JPN,Maebashi,JPN,1999-03-06,Japan,,Male,Indoor,AR,4×4,5
3:01.77,,POL,Birmingham,GBR,2018-03-04,Poland,,Male,Indoor,AR,4×4,1
3:01.39,,USA,College Station TX,USA,2018-03-10,United States,,Male,Indoor,AR,4×4,2
3:03.88,,AUS,Brisbane,AUS,2024-02-24,Australia,,Male,Indoor,AR,4×4,6
3:10.50,,BRA,Paris,FRA,1997-03-08,Brazil,,Male,Indoor,AR,4×4,3
7:17.8,,URS,Sofia,BUL,1971-03-14,Soviet Union,,Male,Indoor,AR,4×8,
7:11.30,,USA,Boston MA,USA,2018-02-25,United States,,Male,Indoor,AR,4×8,2
45.18,,UGA,Lubbock TX,USA,2024-02-23,Eugene Omalla,2000.0,Male,Indoor,AR,400,4
45.39,,QAT,Stockholm/G,SWE,2015-02-19,Abdalelah Haroun,1997.0,Male,Indoor,AR,400,5
45.05,,GER,Sindelfingen,FRG,1988-02-05,Thomas Schönlebe,1965.0,Male,Indoor,AR,400,1
45.05,,NOR,Glasgow,GBR,2019-03-02,Karsten Warholm,1996.0,Male,Indoor,AR,400,1
44.49,,CAN,Fayetteville AR,USA,2024-02-24,Christopher Morales Williams,2004.0,Male,Indoor,AR,400,2
45.44,,AUS,Clemson SC,USA,2018-02-23,Steven Solomon,1993.0,Male,Indoor,AR,400,6
46.07,,COL,Birmingham AL,USA,2019-03-09,Alejandro Perlaza,1994.0,Male,Indoor,AR,400,3
49.87,,ESP,Nerja,ESP,2023-04-15,Jesus David Delgado,1999.0,Male,Indoor,AR,40H,1
12:49.60,,ETH,Birmingham,GBR,2004-02-20,Kenenisa Bekele,1982.0,Male,Indoor,AR,5K0,4
13:08.41,,THA,Boston MA,USA,2022-02-12,Kieran Tuntivate,1997.0,Male,Indoor,AR,5K0,5
12:57.08,,GBR,Boston MA,USA,2022-02-12,Marc Scott,1993.0,Male,Indoor,AR,5K0,1
12:51.61,,USA,Boston MA,USA,2023-01-27,Woody Kincaid,1992.0,Male,Indoor,AR,5K0,2
13:04.33,,NZL,Boston MA,USA,2024-01-26,George Beamish,1996.0,Male,Indoor,AR,5K0,6
13:42.54,,ARG,San Sebastián,ESP,1990-02-20,Antonio Silio,1966.0,Male,Indoor,AR,5K0,3
19:39.92,,TUN,Liévin,FRA,2018-02-18,Hédi Taraaoui,1989.0,Male,Indoor,AR,5G,4
21:46.37,,KAZ,Ust-Kamenogorsk,KAZ,2024-02-23,Egizbay Zharylkasyn,2006.0,Male,Indoor,AR,5G,5
18:07.08,,RUS,Moskva,RUS,1995-02-14,Mikhail Shchennikov,1967.0,Male,Indoor,AR,5G,1
19:21.18,,GUA,Bratislava,SVK,2019-01-27,Erick Barrondo,1991.0,Male,Indoor,AR,5G,2
19:28.87,,BRA,Toronto,CAN,1993-03-13,Sérgio Galdino,1969.0,Male,Indoor,AR,5G,3
6.45,,GHA,Air Force Academy CO,USA,1999-02-20,Leo Myles-Mills,1973.0,Male,Indoor,AR,60M,4
6.42,,CHN,Birmingham,GBR,2018-03-03,Su Bingtian,1989.0,Male,Indoor,AR,60M,5
6.41,,ITA,Beograd,SRB,2022-03-19,Lamont Marcell Jacobs,1994.0,Male,Indoor,AR,60M,1
6.34,,USA,Albuquerque NM,USA,2018-02-18,Christian Coleman,1996.0,Male,Indoor,AR,60M,2
6.52,,AUS,Maebashi,JPN,1999-03-07,Matt Shirvington,1978.0,Male,Indoor,AR,60M,6
6.52,,AUS,Maebashi,JPN,1999-03-07,Matt Shirvington,1978.0,Male,Indoor,AR,60M,6
6.52,,BRA,Paris,FRA,2009-02-13,José Carlos Moreira,1983.0,Male,Indoor,AR,60M,3
7.52,,RSA,Gent,BEL,2001-02-23,Shaun Bownes,1970.0,Male,Indoor,AR,60H,4
7.41,,CHN,Birmingham,GBR,2012-02-18,Liu Xiang,1983.0,Male,Indoor,AR,60H,5
7.30,,GBR,Sindelfingen,GER,1994-03-06,Colin Jackson,1967.0,Male,Indoor,AR,60H,1
7.27,,USA,Albuquerque NM,USA,2024-02-16,Grant Holloway,1997.0,Male,Indoor,AR,60H,2
7.56,,AUS,Beograd,SRB,2022-03-20,Chris Douglas,1997.0,Male,Indoor,AR,60H,6
