result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,type
21330,One Hour,Europe,,GBR,Bruxelles,BEL,2020-09-04,Mo Farah,1983,Male,Outdoor,AR
3:43.13,One Mile,Africa,,MAR,Roma,ITA,1999-07-07,Hicham El Guerrouj,1974,Male,Outdoor,AR
3:47.97,One Mile,Asia,,QAT,Oslo,NOR,2005-07-29,Dahame Najem Bashir,1979,Male,Outdoor,AR
3:43.73,One Mile,Europe,,NOR,Eugene,USA,2023-09-16,Jakob Ingebrigtsen,2000,Male,Outdoor,AR
3:43.97,One Mile,NACAC,,USA,Eugene,USA,2023-09-16,Yared Nuguse,1999,Male,Outdoor,AR
3:47.48,One Mile,Oceania,,AUS,Oslo,NOR,2022-06-16,Olli Hoare,1997,Male,Outdoor,AR
3:51.05,One Mile,South America,,BRA,Oslo,NOR,2005-07-29,Hudson de Souza,1977,Male,Outdoor,AR
6.03,Pole Vault,Africa,,RSA,Köln,GER,1995-08-18,Okkert Brits,1973,Male,Outdoor,AR
6.00,Pole Vault,Asia,,PHI,Budapest,HUN,2023-08-26,Ernest John Obiena,1995,Male,Outdoor,AR
6.23,Pole Vault,Europe,,SWE,Eugene,USA,2023-09-17,Armand Duplantis,1999,Male,Outdoor,AR
6.07,Pole Vault,NACAC,,USA,Nashville,USA,2023-06-02,KC Lightfoot,1999,Male,Outdoor,AR
6.03,Pole Vault,South America,,BRA,Río de Janeiro,BRA,2016-08-15,Thiago Braz,1993,Male,Outdoor,AR
21.97,Shot Put,Africa,,RSA,Eugene,USA,2001-06-02,Janus Robberts,1979,Male,Outdoor,AR
21.77,Shot Put,Asia,,IND,Bhubaneshwar,IND,2023-06-19,Tajinderpal Singh,1994,Male,Outdoor,AR
23.06,Shot Put,Europe,,GER,Haniá,GRE,1988-05-22,Ulf Timmermann,1962,Male,Outdoor,AR
23.56,Shot Put,NACAC,,USA,Westwood,USA,2023-05-27,Ryan Crouser,1992,Male,Outdoor,AR
22.90,Shot Put,Oceania,,NZL,Doha,QAT,2019-10-05,Tom Walsh,1992,Male,Outdoor,AR
22.61,Shot Put,South America,,BRA,Stanford,USA,2019-06-30,Darlan Romani,1991,Male,Outdoor,AR
17.59,Triple Jump,Asia,0.0,CHN,Jinan,CHN,2009-10-26,Li Yanxi,1983,Male,Outdoor,AR
18.29,Triple Jump,Europe,1.3,GBR,Göteborg,SWE,1995-08-07,Jonathan Edwards,1966,Male,Outdoor,AR
18.21,Triple Jump,NACAC,0.2,USA,Beijing,CHN,2015-08-27,Christian Taylor,1990,Male,Outdoor,AR
17.46,Triple Jump,Oceania,1.7,AUS,London,GBR,1982-08-07,Ken Lorraway,1956,Male,Outdoor,AR
