result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
6.07,Pole Vault,NACAC,,USA,Nashville TN,USA,2023-06-02,KC Lightfoot,1999,men,Outdoor
6.03,Pole Vault,South America,,BRA,Río de Janeiro,BRA,2016-08-15,Thiago Braz,1993,men,Outdoor
21.97,Shot Put,Africa,,RSA,Eugene OR,USA,2001-06-02,Janus Robberts,1979,men,Outdoor
21.77,Shot Put,Asia,,IND,Bhubaneshwar,IND,2023-06-19,Tajinderpal Singh,1994,men,Outdoor
23.06,Shot Put,Europe,,GER,Haniá,GRE,1988-05-22,Ulf Timmermann,1962,men,Outdoor
23.56,Shot Put,NACAC,,USA,Westwood CA,USA,2023-05-27,Ryan Crouser,1992,men,Outdoor
22.90,Shot Put,Oceania,,NZL,Doha,QAT,2019-10-05,Tom Walsh,1992,men,Outdoor
22.61,Shot Put,South America,,BRA,Stanford CA,USA,2019-06-30,Darlan Romani,1991,men,Outdoor
17.59,Triple Jump,Asia,0.0,CHN,Jinan,CHN,2009-10-26,Li Yanxi,1983,men,Outdoor
18.29,Triple Jump,Europe,+1.3,GBR,Göteborg/U,SWE,1995-08-07,Jonathan Edwards,1966,men,Outdoor
18.21,Triple Jump,NACAC,+0.2,USA,Beijing,CHN,2015-08-27,Christian Taylor,1990,men,Outdoor
17.46,Triple Jump,Oceania,+1.7,AUS,London,GBR,1982-08-07,Ken Lorraway,1956,men,Outdoor
17.90,Triple Jump,South America,+0.4,BRA,Belém,BRA,2007-05-20,Jadel Gregório,1980,men,Outdoor
7:54.10,Two Miles,Europe,,NOR,Paris,FRA,2023-06-09,Jakob Ingebrigtsen,2000,men,Outdoor
