code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AL;3;10K;M;28:14.96;;Cobb Track and Angell Field;USA;Outdoor;2024-03-29;;Valentin;Soca;URU;2002;Male
AL;3;3K0;M;8:06.99;;E.Nacional;CHI;Outdoor;2024-04-06;;Ignacio;Velasquez;CHI;1998;Male
AL;3;1K0;M;2:29.36;;Pista Prado;URU;Outdoor;2024-02-17;;Gonzalo;Gervasini;URU;2005;Male
AL;3;300;W;42.1;;Pista Atlética Eliana Gaete Lazo;CHI;Outdoor;2024-04-14;;Amanda;Elgueta;CHI;2007;Female
AL;3;4×1;M;39.05;;Centro Deportivo Olímpico Mexicano;MEX;Outdoor;2024-04-07;;;;PAR;;Male
AL;3;11H;M;13.3;0.0;Centro de Atletismo Professor Oswaldo Terra;BRA;Outdoor;2024-03-16;;Eduardo;Rodrigues;BRA;1995;Male
AL;3;1K0;W;2:47.49;;Sports Performance Center;USA;Indoor;2024-02-23;;Carmen;Alder Caisalitin;ECU;2003;Female
AL;3;DRE;W;14.04;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2024-01-28;;Gabriele;Santos;BRA;1995;Female
AL;3;1K5;M;3:43.12;;Cef N°3 Hugo Mario La Nasa;ARG;Outdoor;2024-04-06;;Guilherme;Kurtz;BRA;1994;Male
AL;3;4×4;W;3:52.49;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2024-01-28;;;;BOL;;Female
AL;3;3G;W;15:45.12;;Pista Atlética Lázaro Escobar;CHI;Outdoor;2024-03-02;;Daniela;Paz;CHI;2004;Female
AL;3;800;M;1:46.67;;Cougar Athletic Stadium;USA;Outdoor;2024-04-12;;Eduardo;Ribeiro;BRA;2001;Male
AL;3;WEI;M;8.16;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2024-01-25;;Arnovis;Dalmero;COL;2000;Male
AL;3;200;M;20.45;1.9;Centro de Treinamento Paralímpico Brasileiro;BRA;Outdoor;2024-02-25;;Renan;Correa;BRA;2004;Male
AL;3;MEI;W;4:33.04;;Dempsey Indoor;USA;Indoor;2024-02-10;;Carmen;Alder Caisalitin;ECU;2003;Female
AL;3;60M;W;7.27;;Pista de Atletismo do CNTA;BRA;Indoor;2024-02-17;;Anny;Caroline De Bassi;BRA;1997;Female
AL;3;1K5;W;4:13.67;;E.Nacional;CHI;Outdoor;2024-04-06;;Josefa;Quezada;CHI;1992;Female
AL;3;10H;W;12.93;1.1;Cobb Track and Angell Field;USA;Outdoor;2024-03-30;;Maribel;Vanessa Caicedo;ECU;1998;Female
AL;3;100;M;10.13;1.2;Stade Edmard Lama;FRA;Outdoor;2024-04-13;;Emanuel;Archibald;GUY;1994;Male
AL;3;300;M;33.7;;Clemson Indoor Track & Field Complex;USA;Indoor;2024-01-13;;Arinze;Chance;GUY;1996;Male
AL;3;600;M;1:19.76;;Vanderbilt Multipurpose Facility;USA;Indoor;2024-02-09;;José;Guillermo Peñalver;VEN;2000;Male
AL;3;800;W;2:01.90;;Percy Beard Track;USA;Outdoor;2024-03-30;;Jaqueline;Beatriz Weber;BRA;1995;Female
AL;3;10G;W;43:27.48;;AIS Athletics Track;AUS;Outdoor;2024-01-27;;Lorena;Arenas;COL;1993;Female
AL;3;5G;M;22:17.70;;Pista Atlética Lázaro Escobar;CHI;Outdoor;2024-03-16;;Luis;Navarrete Contreras;CHI;2003;Male
AL;3;60H;M;7.58;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2024-01-28;;Eduardo;Rodrigues;BRA;1995;Male
AL;3;DIS;M;64.96;;Percy Beard Track;USA;Outdoor;2024-04-13;;Claudio;Romero;CHI;2000;Male
AL;3;KUG;W;17.74;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2024-01-27;;Ivana;Xennia Gallardo;CHI;1993;Female
AL;3;3K0;W;9:12.96;;Pista Prado;URU;Outdoor;2024-03-10;;María;Pía Fernández;URU;1995;Female
