code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
WL;;60H;M;7.27;;Convention Center;USA;Indoor;2024-02-16;;Grant;Holloway;USA;1997;Male
WL;;1K5;W;3:50.30;;Egret Stadium;CHN;Outdoor;2024-04-20;;Gudaf;Tsegay;ETH;1997;Female
WL;;DRE;WJU20;13.99;-0.2;Sports Center;CHN;Outdoor;2024-05-10;;Yi;Li;CHN;2005;Female
WL;;DRE;MJU20;17.75;-0.7;National Stadium;JAM;Outdoor;2024-06-01;;Jaydon;Hibbert;JAM;2005;Male
WL;;50H;WJU20;7.4;;GSG9-Halle;AUT;Indoor;2024-01-16;;Iman;Roka;AUT;2005;Female
WL;;SPE;WJU20;64.28;;HOC Stadium;CHN;Outdoor;2024-04-14;;Ziyi;Yan;CHN;2008;Female
WL;;1K0;W;2:34.09;;Dempsey Indoor;USA;Indoor;2024-01-26;;Nikki;Hiltz;USA;1994;Female
WL;;KUG;M;23.13;;Hayward Field;USA;Outdoor;2024-05-25;;Joe;Kovacs;USA;1989;Male
WL;;4×2;W;1:27.05;;Mike A. Myers Stadium;USA;Outdoor;2024-03-30;;;;INT;;Female
WL;;400;M;44.05;;Percy Beard Track;USA;Outdoor;2024-05-11;;Christopher;Morales-Williams;CAN;2004;Male
WL;;400;W;49.17;;Glasgow Arena;GBR;Indoor;2024-03-02;;Femke;Bol;NED;2000;Female
WL;;3KH;WJU20;9:07.26;;Hayward Field;USA;Outdoor;2024-05-25;;Sembo;Almayew;ETH;2005;Female
WL;;5G;W;20:50.56;;KMSHVSM Arena;UKR;Indoor;2024-01-20;;Lyudmila;Olyanovska;UKR;1993;Female
WL;;HOC;MJU20;2.24;;Mike A. Myers Stadium;USA;Outdoor;2024-03-29;;Vines;Scottie;USA;;Male
WL;;KUG;WJU20;17.27;;Msunduzi Athletics Stadium;RSA;Outdoor;2024-04-18;;Ashley;Erasmus;RSA;2005;Female
WL;;4×1;W;41.85;;The Bahamas National Stadium;BAH;Outdoor;2024-05-05;;;;USA;;Female
WL;;4×4;M;2:59.03;;Percy Beard Track;USA;Outdoor;2024-05-11;;;;USA;;Male
WL;;10G;MJU20;40:43.88;;Unidad Deportiva Agustín Flores;MEX;Outdoor;2024-02-03;;Emiliano;Barba;MEX;2007;Male
WL;;5K0;W;14:18.76;;Hayward Field;USA;Outdoor;2024-05-25;;Tsigie;Gebreselama;ETH;2000;Female
WL;;3G;W;12:17.95;;Expocentro;POR;Indoor;2024-02-17;;Vitória;Oliveira;POR;1992;Female
WL;;10G;WJU20;45:56.22;;SA Athletic Stadium;AUS;Outdoor;2024-04-11;;Alexandra;Griffin;AUS;2005;Female
WL;;40H;WJU20;54.73;;Clyde Hart Track & Field Stadium;USA;Outdoor;2024-05-11;;Akala;Garrett;USA;2005;Female
WL;;100;WJU20;11.09;1.2;Percy Beard Track;USA;Outdoor;2024-04-13;;Alana;Reid;JAM;2005;Female
WL;;200;WJU20;22.11;0.6;Percy Beard Track;USA;Outdoor;2024-05-11;;JaMeesia;Ford;USA;2005;Female
WL;;3K0;MJU20;7:33.04;;Arena Stade Couvert;FRA;Indoor;2024-02-10;;Biniam;Mehary;ETH;2006;Male
WL;;4×4;WJU20;3:34.69;;Kirani James Athletic Stadium;GRN;Outdoor;2024-04-01;;;;JAM;;Female
WL;;300;W;35.46;;Fana Stadion;NOR;Outdoor;2024-05-22;;Henriette;Jæger;NOR;2003;Female
WL;;1K5;MJU20;3:33.30;;The Crest Athletics Centre;AUS;Outdoor;2024-02-22;;Cameron;Myers;AUS;2006;Male
WL;;HAM;WJU20;67.87;;Pankritio Stadium;GRE;Outdoor;2024-02-25;;Valentina;Savva;CYP;2005;Female
WL;;2K0;M;4:51.23;;Arena Stade Couvert;FRA;Indoor;2024-02-10;;Lamecha;Girma;ETH;2000;Male
WL;;1K5;WJU20;3:53.22;;Egret Stadium;CHN;Outdoor;2024-04-20;;Birke;Haylom;ETH;2006;Female
WL;;1K0;M;2:13.97;;McArthur Stadium;RSA;Outdoor;2024-03-05;;Djamel;Sedjati;ALG;1999;Male
WL;;60M;MJU20;6.61;;Clemson Indoor Track & Field Complex;USA;Indoor;2024-02-09;;Nyckoles;Harbor;USA;2005;Male
WL;;60M;MJU20;6.61;;KGHM Sleza Arena;POL;Indoor;2024-02-10;;Marek;Zakrzewski;POL;2005;Male
WL;;100;MJU20;9.93;1.6;National Training Center;USA;Outdoor;2024-04-20;;Christian;Miller;USA;2006;Male
WL;;10K;MJU20;27:21.52;;Prefectural Shizuoka Stadium;JPN;Outdoor;2024-05-03;;Kazuma;Maeda;JPN;2005;Male
WL;;4×4;MJU20;3:09.33;;Dubai;UAE;Outdoor;2024-04-27;;;;THA;;Male
WL;;SPE;MJU20;76.68;;Guoxin Sports Center;CHN;Outdoor;2024-05-14;;Xiaobo;Wang;CHN;2005;Male
WL;;200;M;19.67;1.7;Suhaim bin Hamad Stadium;QAT;Outdoor;2024-05-10;;Kenneth;Bednarek;USA;1998;Male
WL;;MEI;WJU20;4:24.23;;Atletická hala;CZE;Indoor;2024-01-30;;Saron;Berhe;ETH;2007;Female
