result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
7485,PRK,Maebashi,JPN,1997-04-27,Kim Sam Ryong,,Male,Dec,NR
8532,PUR,Eugene OR,USA,2022-07-24,Ayden Owens-Delerme,2000,Male,Dec,NR
7730,QAT,Ratingen,GER,2004-06-27,Ahmed Hassan Moussa,1981,Male,Dec,NR
7843,ROU,Paris,FRA,1975-06-08,Vasile Bogdan,1950,Male,Dec,NR
8398,RSA,Götzis,AUT,2015-05-31,Willem Coertzen,1982,Male,Dec,NR
8698,RUS,Kyiv,URS,1984-06-22,Grigoriy Degtyarov,1958,Male,Dec,NR
5830,SAA,Bern,SUI,1954-08-27,Hans Baar,1930,Male,Dec,NR
6953,SAM,Christchurch,NZL,1975-03-15,Iafeta Sua'mene,,Male,Dec,NR
7211,SEN,Val-de-Reuil,FRA,2000-08-13,Maba N'Diaye,1974,Male,Dec,NR
6727,SEY,Victoria,CAN,1993-08-26,Percy Laramé,,Male,Dec,NR
6393,SGP,Singapore,SGP,1978-09-03,Tang Ngai Kin,,Male,Dec,NR
7258,SKN,Delhi,IND,2010-10-08,Adolphus Jones,1984,Male,Dec,NR
6288,SLE,Bedford,GBR,2008-09-28,Sam Sillah,,Male,Dec,NR
7718,SLO,Maribor,SLO,2008-06-01,Damjan Sitar,1981,Male,Dec,NR
4658,SMR,Schio,ITA,2000-05-14,Manuel Maiani,1972,Male,Dec,NR
5468,SOL,Nuku'Alofa,TGA,1989-08-26,Leonard Nonifi,,Male,Dec,NR
8275,SRB,Moskva,RUS,2013-08-11,Mihail Dudaš,1989,Male,Dec,NR
7356,SRI,Colombo,SRI,2018-08-04,Ajith Kumara Karunathilake,1993,Male,Dec,NR
4909,STP,Hässelby,SWE,1996-08-31,Carlos Amado,1960,Male,Dec,NR
8468,SUI,München,GER,2022-08-16,Simon Ehammer,2000,Male,Dec,NR
6526,SUR,Santiago de Chile,CHI,2014-03-15,Gayell Engeso,1994,Male,Dec,NR
7799,SVK,Arles,FRA,2001-06-10,Peter Sóldos,1973,Male,Dec,NR
8406,SWE,Berlin,GER,2009-08-20,Nicklas Wiberg,1985,Male,Dec,NR
6905,SYR,Irbid,JOR,1999-08-14,Mohamed Ali Al-Dahan,,Male,Dec,NR
5627,TAN,Dar-es-Salaam,TAN,1972-12-03,Ernest Joseph,,Male,Dec,NR
7062,TGA,Christchurch,NZL,1974-01-27,Sanitesi Latu,1950,Male,Dec,NR
7809,THA,Jakarta,INA,2018-08-26,Sutthisak Singkhon,1996,Male,Dec,NR
7846,TJK,Leningrad,URS,1982-07-16,Igor Sobolevski,,Male,Dec,NR
7452,TKM,Bryansk,URS,1990-06-18,Dmitri Goryunov,,Male,Dec,NR
4536,TKS,St. Louis MO,USA,2009-04-05,Alvirto Smith,,Male,Dec,NR
5068,TOG,Council Bluffs IA,USA,2019-05-05,Corneille Logo,,Male,Dec,NR
8009,TPE,Walnut CA,USA,1963-04-28,Yang Chuan-kwang,1933,Male,Dec,NR
7212,TTO,Winnipeg,CAN,2005-07-16,Patrick Russell,1982,Male,Dec,NR
8023,TUN,Helsinki,FIN,2005-08-10,Hamdi Dhouibi,1982,Male,Dec,NR
7757,TUR,Azusa CA,USA,1996-04-19,Alper Kasapoglu,1966,Male,Dec,NR
6596,UAE,Doha,QAT,1994-04-08,Ibrahim Nasser Al-Matrooshi,,Male,Dec,NR
6596,UAE,El Djezair,ALG,2004-10-05,Mohamed Abdallah Derouiche,,Male,Dec,NR
6805,UGA,Dallas TX,USA,2003-01-06,Teddy Sondota Ruge,,Male,Dec,NR
8709,UKR,Neubrandenburg,GER,1984-06-03,Aleksandr Apaychev,1961,Male,Dec,NR
6602,URU,Montevideo,URU,1998-11-22,Sebastián Ortiz,1977,Male,Dec,NR
9045,USA,Beijing,CHN,2015-08-29,Ashton Eaton,1988,Male,Dec,NR
8445,UZB,Athína,GRE,1997-08-06,Ramil Ganiyev,1968,Male,Dec,NR
5448,VAN,Pirae,PYF,1971-09-15,David Naupa,,Male,Dec,NR
8048,VEN,Barquisimeto,VEN,2018-05-04,Georni Jaramillo,1989,Male,Dec,NR
7755,VIE,Guangzhou,CHN,2010-11-25,Vu Van Huyen,1983,Male,Dec,NR
4419,VIN,Kingston,JAM,1966-08-06,Ayrton Clouden,,Male,Dec,NR
5443,ZAM,Dar-es-Salaam,TAN,1972-03-12,Samson Mubangalala,1943,Male,Dec,NR
7491,ZIM,Santa Barbara CA,USA,2015-06-13,Keegan Cooke,1988,Male,Dec,NR
