result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
21.60,-1.7,PYF,Nuku'Alofa,TGA,1989-08-28,Robert Tupuhoe,1965,Male,200,NR
19.97,-0.4,QAT,Bruxelles,BEL,2015-09-11,Femi Ogunode,1991,Male,200,NR
20.70,+1.0,ROU,Novi Sad,SRB,2005-07-24,Florin Suciu,1983,Male,200,NR
19.69,-0.5,RSA,Pretoria,RSA,2018-03-16,Clarence Munyai,1998,Male,200,NR
20.23,-0.4,RUS,Roma,ITA,1987-09-03,Vladimir Krylov,1964,Male,200,NR
22.17,+2.2,RWA,Catania,ITA,1997-08-26,Emmanuel Rubayiza,1977,Male,200,NR
20.31,-0.4,SAM,Beijing,CHN,2015-08-25,Jeremy Dodson,1987,Male,200,NR
20.21,+0.6,SEN,Ciudad de México,MEX,2000-07-01,Oumar Loum,1973,Male,200,NR
21.10,+0.9,SEY,Gaborone,BOT,2013-06-02,Leeroy Henriette,1991,Male,200,NR
21.07,0.0,SGP,Hanoi,VIE,2022-05-14,Reuben Lee Siong En,2002,Male,200,NR
20.08,+1.6,SKN,Basseterre,SKN,2014-06-22,Antoine Adams,1988,Male,200,NR
20.75,+1.4,SLE,London,GBR,1997-08-16,Josephus Thomas,1971,Male,200,NR
20.47,+0.5,SLO,Athína,GRE,2004-08-24,Matic Osovnikar,1980,Male,200,NR
21.02,-1.0,SMR,Athína,GRE,1991-07-10,Aldo Canti,1961,Male,200,NR
21.85,-0.7,SOL,Hamilton2,NZL,2005-12-14,Chris Meke Walasi,1980,Male,200,NR
21.88,,SOM,Riyadh,KSA,1983-12-21,Ali Abdi Mohamed,,Male,200,NR
20.70,+0.7,SRB,Kruševac,SRB,2022-06-25,Boško Kijanović,2000,Male,200,NR
20.37,-0.3,SRI,Grosseto,ITA,2022-05-22,Yupun Abeykoon,1994,Male,200,NR
21.14,-1.7,SSD,Sydney,AUS,2016-04-03,Mangar Chuot,1989,Male,200,NR
21.42,,STP,Barcelona,ESP,1997-05-28,Odair Pericles,1978,Male,200,NR
20.16,+2.0,SUD,Gainesville FL,USA,2016-04-01,Ahmed Ali,1993,Male,200,NR
19.98,+1.5,SUI,La Chaux-de-Fonds,SUI,2019-06-30,Alex Wilson,1990,Male,200,NR
20.19,+0.7,SUR,São Paulo,BRA,2023-07-30,Issam Asinga,2004,Male,200,NR
20.24,+1.6,SVK,Trnava,SVK,2018-07-08,Ján Volko,1996,Male,200,NR
20.30,+1.3,SWE,Stuttgart,GER,2007-09-23,Johan Wissman,1982,Male,200,NR
20.22,+0.2,SWZ,Tokyo,JPN,2021-08-03,Sibusiso Matsenjwa,1988,Male,200,NR
21.45,,SYR,Baghdad,IRQ,1979-10-24,Nabil Nahri,1958,Male,200,NR
21.25,+0.4,TAN,Rabat,MAR,2019-08-29,Ali Khamis Gulam,1997,Male,200,NR
21.54,+1.7,TGA,Apia,SAM,2019-07-17,Ronald Fotofili,1998,Male,200,NR
20.19,+1.7,THA,Almaty,KAZ,2022-06-26,Phooripol Bunson,2006,Male,200,NR
21.34,+0.4,TJK,Almaty,KAZ,2015-07-26,Aleksandr Pronzhenko,1992,Male,200,NR
21.21,,TKM,Sofia,BUL,1978-06-04,Sergey Vladimirtsev,1953,Male,200,NR
20.27,+0.9,TKS,Kingston,JAM,2013-03-16,Delano Williams,1993,Male,200,NR
23.89,,TLS,Jakarta,INA,1994-09-09,J. Mezias,,Male,200,NR
20.87,+1.7,TOG,Evry-Bondoufle,FRA,1996-06-23,Kossi Akoto,1968,Male,200,NR
20.23,+0.7,TPE,Jakarta,INA,2018-08-29,Yang Chun-Han,1997,Male,200,NR
19.77,+0.7,TTO,Stuttgart,GER,1997-07-13,Ato Boldon,1973,Male,200,NR
21.14,+1.6,TUN,Radès,TUN,2005-07-09,Ridha Ghali,1983,Male,200,NR
19.76,+0.7,TUR,Berlin,GER,2018-08-09,Ramil Guliyev,1990,Male,200,NR
23.08,,TUV,Apia,SAM,2019-07-17,Kanaee Saloa Tauia,2001,Male,200,NR
