code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AR;2;WEI;M;8.95;0.3;Tokyo;JPN;Outdoor;1991-08-30;Mike Powell;;;USA;1963;Male
AR;6;WEI;M;8.54;1.7;Stockholm;SWE;Outdoor;2011-07-29;Mitchell Watt;;;AUS;1988;Male
AR;3;WEI;M;8.73;1.2;Hengelo;NED;Outdoor;2008-05-24;Irving Saladino;;;PAN;1983;Male
AR;4;MEI;M;3:43.13;;Roma;ITA;Outdoor;1999-07-07;Hicham El Guerrouj;;;MAR;1974;Male
AR;5;MEI;M;3:47.97;;Oslo;NOR;Outdoor;2005-07-29;Dahame Najem Bashir;;;QAT;1979;Male
AR;1;MEI;M;3:43.73;;Eugene;USA;Outdoor;2023-09-16;Jakob Ingebrigtsen;;;NOR;2000;Male
AR;2;MEI;M;3:43.97;;Eugene;USA;Outdoor;2023-09-16;Yared Nuguse;;;USA;1999;Male
AR;6;MEI;M;3:47.48;;Oslo;NOR;Outdoor;2022-06-16;Olli Hoare;;;AUS;1997;Male
AR;3;MEI;M;3:51.05;;Oslo;NOR;Outdoor;2005-07-29;Hudson de Souza;;;BRA;1977;Male
AR;4;STA;M;6.03;;Köln;GER;Outdoor;1995-08-18;Okkert Brits;;;RSA;1973;Male
AR;5;STA;M;6.00;;Budapest;HUN;Outdoor;2023-08-26;Ernest John Obiena;;;PHI;1995;Male
AR;1;STA;M;6.24;;Xiamen;CHN;Outdoor;2024-04-20;Armand Duplantis;;;SWE;1999;Male
AR;2;STA;M;6.07;;Nashville;USA;Outdoor;2023-06-02;KC Lightfoot;;;USA;1999;Male
AR;3;STA;M;6.03;;Rio de Janeiro;BRA;Outdoor;2016-08-15;Thiago Braz;;;BRA;1993;Male
AR;4;KUG;M;21.97;;Eugene;USA;Outdoor;2001-06-02;Janus Robberts;;;RSA;1979;Male
AR;5;KUG;M;21.77;;Bhubaneshwar;IND;Outdoor;2023-06-19;Tajinderpal Singh;;;IND;1994;Male
AR;1;KUG;M;23.06;;Haniá;GRE;Outdoor;1988-05-22;Ulf Timmermann;;;GER;1962;Male
AR;2;KUG;M;23.56;;Westwood;USA;Outdoor;2023-05-27;Ryan Crouser;;;USA;1992;Male
AR;6;KUG;M;22.90;;Doha;QAT;Outdoor;2019-10-05;Tom Walsh;;;NZL;1992;Male
AR;3;KUG;M;22.61;;Stanford;USA;Outdoor;2019-06-30;Darlan Romani;;;BRA;1991;Male
AR;5;DRE;M;17.59;0.0;Jinan;CHN;Outdoor;2009-10-26;Li Yanxi;;;CHN;1983;Male
AR;1;DRE;M;18.29;1.3;Göteborg;SWE;Outdoor;1995-08-07;Jonathan Edwards;;;GBR;1966;Male
AR;2;DRE;M;18.21;0.2;Beijing;CHN;Outdoor;2015-08-27;Christian Taylor;;;USA;1990;Male
AR;6;DRE;M;17.46;1.7;London;GBR;Outdoor;1982-08-07;Ken Lorraway;;;AUS;1956;Male
AR;3;DRE;M;17.90;0.4;Belém;BRA;Outdoor;2007-05-20;Jadel Gregório;;;BRA;1980;Male
