Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
AR;5;800;M;1:42.79;;Monaco;MON;Outdoor;2008-07-29;Yusuf;Saad Kamel;BRN;1983;Male
AR;5;1K0;M;2:14.72;;Stockholm;SWE;Outdoor;2008-07-22;Yusuf;Saad Kamel;BRN;1983;Male
AR;5;1K5;M;3:29.14;;Roma;ITA;Outdoor;2006-07-14;Rashid;Ramzi;BRN;1980;Male
AR;5;MEI;M;3:47.97;;Oslo;NOR;Outdoor;2005-07-29;Daham;Najim Bashir;QAT;1979;Male
AR;5;2K0;M;4:55.57;;Roma;ITA;Outdoor;1995-06-08;Mohamed;Suleiman;QAT;1969;Male
AR;5;3K0;M;7:30.76;;Doha;QAT;Outdoor;2005-05-13;Jamal;Bilal Salem;QAT;1978;Male
AR;5;5K0;M;12:51.96;;Monaco;MON;Outdoor;2013-07-19;Albert;Rop;BRN;1992;Male
AR;5;10K;M;26:38.76;;Bruxelles;BEL;Outdoor;2003-09-05;Ahmad;Hassan Abdullah;QAT;1981;Male
AR;5;11H;M;12.88;1.1;Lausanne;SUI;Outdoor;2006-07-11;Xiang;Liu;CHN;1983;Male
AR;5;40H;M;46.98;;Paris;FRA;Outdoor;2018-06-30;Abderrahman;Samba;QAT;1995;Male
AR;5;3KH;M;7:53.63;;Bruxelles;BEL;Outdoor;2004-09-03;Saif;Saaeed Shaheen;QAT;1982;Male
AR;5;4×1;M;37.43;;Doha;QAT;Outdoor;2019-10-05;Japan;;JPN;;Male
AR;5;4×2;M;1:20.83;;Xi'an;CHN;Outdoor;2021-09-23;Shandong;;CHN;;Male
AR;5;4×2;M;1:20.83;;Xi'an;CHN;Outdoor;2021-09-23;Guangdong;;CHN;;Male
AR;5;4×4;M;2:59.05;;Budapest;HUN;Outdoor;2023-08-26;India;;IND;;Male
AR;5;4×8;M;7:06.66;;Bruxelles;BEL;Outdoor;2006-08-25;Qatar;;QAT;;Male
AR;5;HOC;W;2.00;;Almaty;KAZ;Outdoor;2021-06-08;Nadezhda;Dubovitskaya;KAZ;1998;Female
